timestamp,x_cam,y_cam,theta_cam,vL,vR
1764516113.469613,581.0,236.5,-2.8006136,33,29
1764516113.502947,580.5,236.25,-2.7863617,33,29
1764516113.536281,580.25,236.0,-2.7954566,33,29
1764516113.5696151,579.5,235.75,-2.7863617,33,29
1764516113.6029491,579.0,235.5,-2.8006136,33,29
1764516113.636283,578.5,235.25,-2.7863617,33,29
1764516113.669617,577.75,235.0,-2.7954566,33,29
1764516113.702951,577.5,234.75,-2.7863617,33,29
1764516113.736285,577.0,234.5,-2.8006136,33,29
1764516113.769619,576.5,234.25,-2.7863617,33,29
1764516113.802953,576.0,234.0,-2.7901478,33,29
1764516113.836287,575.5,233.75,-2.7863617,33,29
1764516113.869621,575.25,233.25,-2.7810266,33,29
1764516113.902955,574.5,233.25,-2.7863617,33,29
1764516113.936289,574.25,233.0,-2.766752,33,29
1764516113.969623,573.5,232.75,-2.7863617,33,29
1764516114.002957,573.25,232.25,-2.7810266,33,29
1764516114.0362911,572.75,232.0,-2.766752,33,29
1764516114.0696251,571.75,231.75,-2.7810266,33,29
1764516114.1029592,571.25,231.75,-2.7810266,33,29
1764516114.1362932,571.0,231.0,-2.772259,33,29
1764516114.169627,570.5,231.0,-2.772259,33,29
1764516114.202961,570.0,231.0,-2.772259,33,29
1764516114.236295,569.25,230.75,-2.7810266,33,29
1764516114.269629,568.75,230.0,-2.766752,33,29
1764516114.302963,568.5,230.0,-2.7610862,33,29
1764516114.336297,567.75,230.0,-2.766752,33,29
1764516114.369631,567.5,229.75,-2.7468016,33,29
1764516114.402965,566.75,229.0,-2.766752,33,29
1764516114.436299,566.25,229.0,-2.766752,33,29
1764516114.469633,566.0,229.0,-2.772259,33,29
1764516114.5029671,565.5,228.75,-2.7468016,33,29
1764516114.5363011,564.5,228.25,-2.7468016,33,29
1764516114.5696352,564.5,228.0,-2.7610862,33,29
1764516114.6029692,564.25,227.5,-2.738681,33,29
1764516114.6363032,563.5,227.5,-2.7326849,33,29
1764516114.6696372,563.0,227.25,-2.7583084,33,29
1764516114.702971,562.5,227.0,-2.7610862,33,29
1764516114.738698,562.0,226.5,-2.7326849,33,29
1764516114.772032,561.25,226.5,-2.726518,33,29
1764516114.805366,561.0,226.25,-2.7583084,33,29
1764516114.8387,560.5,226.0,-2.7610862,33,29
1764516114.872034,560.0,225.5,-2.7326849,33,29
1764516114.905368,559.25,225.5,-2.726518,33,29
1764516114.938702,558.75,225.5,-2.738681,33,29
1764516114.972039,558.5,224.75,-2.7468016,33,29
1764516115.005373,558.0,224.5,-2.7326849,33,29
1764516115.038707,557.25,224.5,-2.726518,33,29
1764516115.072041,557.0,223.75,-2.7187388,33,29
1764516115.105375,556.25,223.5,-2.738681,33,29
1764516115.138709,556.0,223.5,-2.7326849,33,29
1764516115.172043,555.5,223.5,-2.7326849,33,29
1764516115.205377,555.0,222.75,-2.7187388,33,29
1764516115.238711,554.25,222.5,-2.726518,33,29
1764516115.2720451,554.0,222.5,-2.7326849,33,29
1764516115.3053792,553.25,222.0,-2.738681,33,29
1764516115.3387132,553.0,221.75,-2.7187388,33,29
1764516115.3720472,552.5,221.5,-2.7201734,33,29
1764516115.4053812,552.0,221.25,-2.7187388,33,29
1764516115.438715,551.5,221.0,-2.7049656,33,29
1764516115.472049,551.0,220.75,-2.7187388,33,29
1764516115.505383,550.5,220.5,-2.7201734,33,29
1764516115.538717,550.0,220.25,-2.7187388,33,29
1764516115.572051,549.75,219.75,-2.712414,33,29
1764516115.605385,549.0,219.5,-2.7049656,33,29
1764516115.638719,548.5,219.5,-2.7049656,33,29
1764516115.672053,548.0,219.0,-2.691833,33,29
1764516115.705387,547.5,218.5,-2.7049656,33,29
1764516115.7387211,546.75,218.5,-2.6984901,33,29
1764516115.787371,546.25,217.75,-2.712414,33,29
1764516115.82471,545.5,217.5,-2.7049656,33,29
1764516115.858044,545.0,217.0,-2.691833,33,29
1764516115.891378,544.5,216.5,-2.7049656,33,29
1764516115.926568,544.0,216.5,-2.691833,33,29
1764516115.959902,543.5,216.5,-2.7049656,33,29
1764516115.993236,543.0,216.0,-2.691833,33,29
1764516116.02657,542.5,215.5,-2.7049656,33,29
1764516116.059904,542.0,215.5,-2.691833,33,29
1764516116.093238,541.5,215.25,-2.6779451,33,29
1764516116.1265721,541.0,214.75,-2.6779451,33,29
1764516116.160387,540.75,214.5,-2.6984901,33,29
1764516116.193721,540.0,214.25,-2.6779451,33,29
1764516116.227055,539.5,213.75,-2.6779451,33,29
1764516116.260389,539.25,213.5,-2.6984901,33,29
1764516116.294134,539.0,213.25,-2.6779451,33,29
1764516116.3275678,538.25,213.0,-2.6711884,33,29
1764516116.3609018,538.0,212.5,-2.691833,33,29
1764516116.3955488,537.5,212.25,-2.6779451,33,29
1764516116.4288828,536.5,212.0,-2.6642473,33,29
1764516116.4622169,536.25,211.75,-2.6847477,33,29
1764516116.4955509,536.0,211.5,-2.691833,33,29
1764516116.529218,535.5,211.0,-2.6642473,33,29
1764516116.562552,535.0,210.5,-2.691833,33,29
1764516116.595886,534.5,210.0,-2.6642473,33,29
1764516116.62922,533.75,210.0,-2.6711884,33,29
1764516116.662554,533.5,210.0,-2.6642473,33,29
1764516116.6958878,533.0,209.5,-2.691833,33,29
1764516116.7292218,532.5,209.0,-2.6642473,33,29
1764516116.7625558,532.5,209.0,-2.6642473,33,29
1764516116.7958899,531.5,209.0,-2.6642473,33,29
1764516116.8292239,531.25,208.0,-2.6571147,33,29
1764516116.862558,530.5,208.0,-2.6642473,33,29
1764516116.895892,530.25,208.0,-2.6571147,33,29
1764516116.929226,529.75,207.0,-2.6571147,33,29
1764516116.963059,529.5,207.25,-2.6507409,33,29
1764516116.997532,528.5,206.75,-2.6507409,33,29
1764516117.030866,528.5,206.25,-2.6507409,33,29
1764516117.0642,527.75,206.0,-2.6571147,33,29
1764516117.097534,527.25,206.0,-2.6571147,33,29
1764516117.130868,526.75,205.25,-2.643476,33,29
1764516117.164202,526.5,205.25,-2.6507409,33,29
1764516117.197536,525.75,204.75,-2.643476,33,29
1764516117.23087,525.25,204.75,-2.643476,33,29
1764516117.264204,525.25,204.25,-2.643476,33,29
1764516117.297538,524.25,204.0,-2.6571147,33,29
1764516117.330872,523.75,203.75,-2.643476,33,29
1764516117.364206,523.75,203.25,-2.643476,33,29
1764516117.39754,523.0,203.0,-2.6374266,33,29
1764516117.430874,522.25,202.75,-2.643476,33,29
1764516117.464208,522.25,202.5,-2.6300366,33,29
1764516117.497542,521.75,202.0,-2.6300366,33,29
1764516117.530876,521.25,202.0,-2.6300366,33,29
1764516117.56421,520.5,201.5,-2.6224465,33,29
1764516117.597544,520.5,201.25,-2.6360116,33,29
1764516117.630878,519.75,201.0,-2.6300366,33,29
1764516117.664212,519.5,200.5,-2.6224465,33,29
1764516117.697546,519.0,200.0,-2.6374266,33,29
1764516117.73088,518.5,199.75,-2.6090887,33,29
1764516117.793184,517.5,199.0,-2.6224465,33,29
1764516117.829398,517.0,199.0,-2.6224465,33,29
1764516117.862732,516.5,198.25,-2.6090887,33,29
1764516117.8960981,516.25,198.0,-2.6300366,33,29
1764516117.9294322,515.75,198.0,-2.6300366,33,29
1764516117.96319,515.0,197.5,-2.5959377,33,29
1764516117.999072,514.75,197.0,-2.6300366,33,29
1764516118.032406,514.5,197.0,-2.6224465,33,29
1764516118.06574,514.0,196.5,-2.5959377,33,29
1764516118.0990741,513.5,196.0,-2.6224465,33,29
1764516118.1324081,513.0,195.5,-2.5959377,33,29
1764516118.1657422,512.25,195.5,-2.5879114,33,29
1764516118.1990762,512.0,195.25,-2.6090887,33,29
1764516118.2324102,512.0,194.5,-2.5959377,33,29
1764516118.265744,511.0,194.5,-2.5959377,33,29
1764516118.299078,511.0,194.25,-2.6090887,33,29
1764516118.332412,510.25,194.0,-2.6146495,33,29
1764516118.365746,510.0,193.25,-2.6090887,33,29
1764516118.39908,509.5,193.25,-2.6090887,33,29
1764516118.432414,509.0,192.5,-2.5959377,33,29
1764516118.465748,508.75,192.5,-2.5879114,33,29
1764516118.499082,508.0,192.0,-2.5959377,33,29
1764516118.532416,507.5,191.5,-2.5796711,33,29
1764516118.5657501,507.0,191.5,-2.5959377,33,29
1764516118.5990841,507.0,191.0,-2.5959377,33,29
1764516118.6324182,506.25,190.5,-2.5879114,33,29
1764516118.6657522,505.75,190.5,-2.5879114,33,29
1764516118.6990862,505.5,190.0,-2.5796711,33,29
1764516118.7324202,505.25,189.75,-2.5748634,33,29
1764516118.7657542,504.25,189.25,-2.5748634,33,29
1764516118.7990882,504.0,189.0,-2.5959377,33,29
1764516118.8324218,503.75,188.75,-2.5748634,33,29
1764516118.8657558,503.0,188.25,-2.5665205,33,29
1764516118.8990898,502.75,188.0,-2.5879114,33,29
1764516118.9324238,502.25,187.5,-2.5620286,33,29
1764516118.9657578,501.75,187.5,-2.5620286,33,29
1764516118.9990919,501.25,187.0,-2.5879114,33,29
1764516119.0324259,501.0,186.5,-2.55359,33,29
1764516119.06576,500.5,186.5,-2.5702553,33,29
1764516119.099094,500.0,185.75,-2.5665205,33,29
1764516119.132428,499.75,185.5,-2.5620286,33,29
1764516119.165762,499.0,185.25,-2.5665205,33,29
1764516119.199096,499.0,184.75,-2.5665205,33,29
1764516119.23243,498.0,184.5,-2.55359,33,29
1764516119.265764,498.0,184.25,-2.5665205,33,29
1764516119.299098,497.0,183.5,-2.55359,33,29
1764516119.3324318,497.0,183.5,-2.55359,33,29
1764516119.3657658,496.5,182.5,-2.55359,33,29
1764516119.3990998,496.0,182.5,-2.55359,33,29
1764516119.4324338,495.75,182.5,-2.5449324,33,29
1764516119.4657679,495.25,181.5,-2.5449324,33,29
1764516119.4991019,495.0,181.5,-2.55359,33,29
1764516119.532436,494.0,181.5,-2.55359,33,29
1764516119.56577,494.0,180.5,-2.55359,33,29
1764516119.599104,493.5,180.5,-2.55359,33,29
1764516119.632438,493.0,180.5,-2.55359,33,29
1764516119.665772,492.5,179.5,-2.55359,33,29
1764516119.699106,492.0,179.5,-2.55359,33,29
1764516119.73244,492.0,178.75,-2.5408788,33,29
1764516119.765774,491.5,178.25,-2.5408788,33,29
1764516119.799108,491.25,177.75,-2.532134,33,29
1764516119.832442,490.5,177.5,-2.55359,33,29
1764516119.865776,489.75,177.25,-2.532134,33,29
1764516119.8991098,489.75,177.0,-2.5195606,33,29
1764516119.9324439,489.25,176.5,-2.5449324,33,29
1764516119.9657779,488.75,176.25,-2.532134,33,29
1764516119.999112,488.25,175.5,-2.5449324,33,29
1764516120.032446,487.75,175.25,-2.532134,33,29
1764516120.06578,487.5,175.0,-2.55359,33,29
1764516120.099114,487.25,174.75,-2.532134,33,29
1764516120.132448,486.75,174.75,-2.532134,33,29
1764516120.165782,486.0,174.25,-2.5231647,33,29
1764516120.199116,486.0,173.75,-2.5231647,33,29
1764516120.23245,485.5,173.5,-2.5283854,33,29
1764516120.265784,485.0,173.0,-2.5105133,33,29
1764516120.299118,484.75,172.5,-2.5195606,33,29
1764516120.332452,484.25,172.5,-2.5195606,33,29
1764516120.365786,483.75,172.25,-2.488746,33,29
